Compound,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Zn3WN4,2.322176128184232,2.6388523881074697,2.607643257884299,2.5029128636260674,2.452892321026479,2.683899806118136,2.697728128120488,2.3468447963468573,2.485908960229075,2.435717213486845,2.3625840269709917,2.621766898060637,2.755636448755537,2.708350690280832,2.395310501962419,2.625677150747925,2.5963996488489216,2.2135831071426475,2.68983012524683,2.451206999374706,3.119974071332438,2.5294334481375267,2.901304004968928,2.4128924582764752,2.40637917660586,2.5617043270239623,2.460473170619175,2.652913702102348,2.752779445122067,2.5247542424447804,2.6684149452713486,2.5539136566562943,2.6626757004049764,2.4412958256131505,2.4432520272651748,2.990834844417578,2.508145840091018,2.6759258786886315,2.2937653732109915,2.501083396055575,2.8314132622843844,2.401646484683382,2.8462173255407524,2.549450905889079,2.5165267680442436,2.606434426601483,2.6641731217569276,2.4646156166875484,2.505348787939971,2.6186590610678087,2.6168491129380755,2.3592892446221807,2.9701000097345527,2.305904559357216,2.387885746074151,2.624113153032832,2.5973146171429753,2.4242564827017534,2.4431245435821696,2.3978371761933603,2.6322766502110797,2.6887179768777782,2.523611111535052,2.2939164576409703,2.4579394292025976,2.558103702048444,2.6964467316427356,2.3981986165726417,2.669284724787981,2.712593429613342,2.609352491344324,2.456874880731238,2.5379993148694506,2.359818088737966,2.3810159293333357,2.7181454366090234,2.658203493767891,2.5460294397239367,2.5510675566676673,2.714090944140581,2.631339304947355,2.5246028613018363,2.609940459663973,2.8682684798171367,2.586086375245974,2.891075604021337,2.3812271009541726,2.7034934102581514,2.3763072100725076,2.848045841624857,2.2991523895526753,2.541423801396716,2.528887551686954,2.9363515675937233,2.350652548119614,2.4784819599748866,2.540829960973743,2.421195212298272,2.637967094689457,2.5398096242972104
ZnGeN2,2.708462840206019,3.0707610170913053,3.1478137029024422,2.8787646257736483,2.700091594900672,2.853963321114993,3.2117750307180124,2.786111417737021,3.212249651255836,2.9195675319729286,2.7009157486991024,2.7149607812991268,3.347090391334996,2.733741929892298,3.011556292841903,2.67833781284451,2.6998332637257656,2.791831325866494,3.39994225138028,2.8875161158139857,3.399705765287251,2.699771120919849,3.3395075454399437,2.928989669465219,2.700199088972942,2.745638527711673,2.842222365158655,3.237924966044345,3.138987171293946,3.08710191969881,2.9805320728166693,2.8602538672658775,2.925408346627047,2.700284774782971,3.0931898937150835,3.294347461678848,2.825065499317893,2.9865359599637484,2.8091836336540017,2.9188994783546542,3.400094122028917,3.0343916453989372,3.362775603603507,2.7000731248135192,2.8619066499303885,2.8471772427443467,2.992171482083534,2.827986796099077,2.7001198409295633,2.8342151686674617,3.399910619704093,2.7660356519747675,3.274576270256654,2.6999191173159582,3.1527466777247235,3.2008764847914852,3.2281354181393747,2.8160722791704225,2.618850330770543,2.9555506227337682,2.6877462535151855,3.148114629542677,3.120894615425954,2.834437552831204,2.688940288603151,3.087500147988569,2.9704268337591837,3.252394240310552,3.3384502854021676,2.7607222072586017,3.1762895687038197,3.0619151005088208,2.870018047403525,2.967082385819513,2.7737187620943407,3.400082871225965,3.1435351036848145,2.6999487854645476,2.8508953721879964,3.025293039397437,3.327992754335435,2.700016487048815,2.89651088361052,3.3998901257819263,3.303230831507094,3.3382304261875757,2.9604712097759918,3.210625449558663,2.9501647100894273,3.282101844425876,3.058503452020001,3.135923810145,2.864406300102273,3.1097484699848974,2.8072687298830235,3.1653451456856914,2.437955288681596,2.983957121157906,2.9790541553546594,2.9590852269320287
ZnSiN2,3.215985081526835,3.551035161688692,3.6433215363989833,3.426853521387049,3.0787907271229074,3.244971649952654,3.6461238636236994,3.301885557346668,3.745682710822871,3.4352280821363497,3.2739277637972277,3.0571344053209364,3.7920071807462814,3.2282457247171803,3.4251208150103913,3.2141005086498597,3.127264823807956,3.3366762224755044,3.8384535746574415,3.2405880045564937,3.7219957638460817,3.1401055800387705,3.4987804354265704,3.4940505011679197,3.2047640045632244,3.2141077179540627,3.3023929536567023,3.7082789274086343,3.5271603246155525,3.6840723131865443,3.395326817963225,3.356716852123208,3.440240998473084,3.1803504540910597,3.615676426912991,3.767180831900469,3.3367314771203826,3.514083255510879,3.240652126660263,3.2762387442802305,3.912815513268155,3.5197847801028823,3.799909919584696,3.1375129452069515,3.359759826118729,3.2658139019324675,3.375614982997566,3.2971512404158454,3.1953555393208224,3.2873179617373633,3.756847468312346,3.2346372746874614,3.746632561007945,3.181900372117038,3.701548838769435,3.642036807568149,3.728893827136846,3.3406884422062575,3.1802770523280945,3.4507010093559436,3.066228826310553,3.6048974960048263,3.5997098694402485,3.296552092210229,3.085491719886727,3.5900150708174254,3.454921869511215,3.7693900600985284,3.8219904785493424,3.1427876384873046,3.637196612675393,3.6649533019657023,3.281413879633181,3.4327096882093535,3.2051717604806886,3.7633417066842743,3.6005291458077413,3.035943604750452,3.280792996817059,3.561695796030813,3.744325597961633,3.1922684673928363,3.4059087686380427,3.801796455401389,3.8048047852249294,3.7407695144430457,3.4994145780218635,3.682008502042319,3.465053387876296,3.763124895342401,3.531832580336471,3.6691915152879404,3.2304261562106076,3.4771727045419114,3.3424152105473586,3.608619117870382,2.8626451517399705,3.537615005348088,3.4680276451793133,3.4599793482235466
YWN3,2.6580215944810948,2.8484611888084377,2.952471764599931,2.818248472710415,2.9314885337537646,2.9751589545385944,3.0348024306673747,2.7212670627043067,3.0132245483139637,2.8175141193954287,2.7554464049299057,2.9829060953458413,2.8765652951684877,3.127710347139473,2.8505519761473908,3.2578954687961157,3.0880184295336033,2.6999364395183654,2.9767962903172673,2.7387362222677445,3.403737234755841,2.762782582747125,3.20430353578067,2.7204395650476223,2.7598893562183777,2.8399624725384736,3.120274040729934,2.8541668566925273,3.0950508706750335,2.849688132382373,2.9707725103899354,2.8836706722146133,3.0377699506818314,2.6863085202644497,2.7587815404415164,3.246501073289778,2.7804369342576707,2.9336402510810355,2.65368846040251,2.776346179215866,2.912575480314563,2.845640119869,2.884906664302074,3.014583173824011,2.822380185419721,2.770769331114887,3.0667965388542915,2.6432915319410686,2.8648191000530656,3.1464331134041976,2.80438627087143,2.706594798889527,3.1829422910246707,2.6866639601022535,2.823445255155315,2.855070323818897,2.853328913539262,2.789693615331264,2.9228470480368096,2.835522266098347,2.7267919992585514,2.91229220603074,2.7880554313913493,2.7658910614122227,2.8175136705619064,2.799353819277316,3.154635530090407,2.7066138311921675,2.926433481133633,3.1135584044547886,2.864319366357808,2.8260339957474274,2.73292652029687,2.7686343642727738,2.8965785165201248,2.962193358299423,2.9485921268217687,3.0950562518565428,2.8500083303557777,3.0020872200339954,2.8957077948855465,2.922387468369795,2.785388086433599,3.1244054622088226,2.715605354322912,3.10870132092014,2.707672098770032,3.1313567040488413,2.68860582882221,2.9703077816460617,2.5924101980547336,2.733377914321648,2.753101790814366,3.023339687828533,2.7575304881958607,2.938507939071473,2.761302682996837,2.837413792456484,3.1153579419767037,2.9069171276789416
ZnSnN2,2.0474650121354734,2.5011403048906433,2.5392628442454543,2.283810154686928,2.273100117045705,2.417795947354066,2.6763416193317626,2.1513955816742483,2.6002290720358836,2.3269714054752724,2.0631898232487327,2.3301604553831075,2.8288618988805396,2.198666985118121,2.512420071389303,2.082887490423862,2.1943359928288273,2.1817349554329244,2.837453978310259,2.475781246846224,2.9887085088634033,2.185445176513879,3.100754623673667,2.257250562779496,2.1929053970224817,2.2279463997608966,2.3196531756063083,2.609575431116162,2.674649842685513,2.388106601428915,2.518315501244402,2.2723846202862292,2.3365850737773517,2.192264352120139,2.466778708700933,2.731439514839277,2.26575697274634,2.4132190486878127,2.3342675336950753,2.4973099984297837,2.7576146185047925,2.4574334832969735,2.7681383110615676,2.2257967116452892,2.261337093062231,2.3621659274488596,2.564598936703844,2.2681952585703447,2.1284270400399614,2.3544536196032255,2.962408702369057,2.237022278940424,2.7262937924435677,2.181436500206543,2.487509375259261,2.6417778418131332,2.653015131916984,2.1820556582364947,1.9999576002031612,2.3638610283736075,2.2006893153786837,2.6242789370389237,2.5606847508700006,2.2977022940101977,2.217436946558574,2.5059793831729484,2.4034955914609473,2.6362209741539684,2.696258004273752,2.3182454196344464,2.6178229922394323,2.3730829406807157,2.376361021934037,2.3854272845839164,2.263441322006953,2.9343447007989347,2.643229861293519,2.3271034677099514,2.3444850007537843,2.409931587367497,2.7994750540219515,2.1281266492001585,2.3058298623606586,2.9147432173166417,2.704661766322143,2.8958401392709483,2.290375449782298,2.629937507216291,2.318831017108615,2.707895619642699,2.4964165049504574,2.4884652498271285,2.4419852508002315,2.7077525410757226,2.2118947776309836,2.6864825542488826,1.9850335640223926,2.3356479848293485,2.421370130827296,2.368963618269404
Zn3MoN4,2.144179214480322,2.59350941044847,2.487642041767213,2.473961337635533,2.2745013159907455,2.3631110677650886,2.5563491301610126,2.23759554106603,2.3970530371218732,2.284562778439601,2.2939212326872775,2.208498467865947,2.5959546381924925,2.463363221563016,2.1519821223790467,2.4682544152000805,2.490905460838169,2.221712661299256,2.517951914293305,2.3003308615416174,2.8423033795692447,2.340595359513822,2.543270376348252,2.3776981651594324,2.3534631534492867,2.3524887768364007,2.3135809709328923,2.5028606771588935,2.5489242873804807,2.47667871726466,2.5246187466778287,2.352858849081248,2.4193290188593872,2.317872014942211,2.4427329022910693,2.792131159805769,2.280092008448655,2.5647400788815875,2.203977294638965,2.406497689230669,2.718823381984338,2.2566288792352376,2.775983396086955,2.3733727223286185,2.249382045077327,2.381961053467287,2.5269767486252803,2.3125718496058782,2.386535379097604,2.4060795504785584,2.4591558195932612,2.135106774806986,2.6264801933557673,2.2155589880586968,2.3123857721887626,2.5041081599558423,2.4301201365366984,2.348599245729398,2.267222056690165,2.2852139948333097,2.462001460357586,2.597741495336087,2.535117202012652,2.0604229250727286,2.4278652856601117,2.513386296088038,2.5337679897227354,2.38891394621853,2.600892097573805,2.4981768686257704,2.467646122980789,2.4020061312421292,2.4975880178995786,2.28220930005889,2.3604529302865522,2.5925792905008205,2.4337580804614163,2.311590985526697,2.5222338631428185,2.4876675481283437,2.459648071182827,2.290801196800997,2.3772451656400237,2.5581012218374832,2.472772612776942,2.6204532494488015,2.3961868616123563,2.630028716305605,2.320216722012353,2.7703717283563454,2.2057844105252746,2.419777899789867,2.3583133947866344,2.7155902186292176,2.2415660163551943,2.3214440785498374,2.399915031385099,2.447572582286965,2.3973509146390724,2.391221157243669
Zn2NbN3,2.1688582030687957,2.651938277198472,2.5859781557698707,2.524850992529426,2.339397367593654,2.3933804267862646,2.613704916415421,2.2493175190780192,2.4851337454277447,2.3911122010838826,2.327308541267696,2.2708726661816847,2.704513177160939,2.5377372071035227,2.2616319760229153,2.4746555240933525,2.474458218350272,2.2814234709119443,2.603232154610311,2.401611017654235,2.9331070063472944,2.386139028005924,2.6325433512942724,2.5017267556303024,2.3958295656806263,2.4138051282561332,2.4079816468378996,2.5435718110814065,2.639572582975612,2.536056292782984,2.5728706245836115,2.3657663888503873,2.4624826786583727,2.373771562327634,2.476351411981759,2.857890145335979,2.2978814723922585,2.60458209900043,2.2786665694495962,2.4832066070757843,2.7677341629120784,2.32770542874165,2.818564741657167,2.436452147861303,2.3109065916587803,2.424869138488555,2.6037585601055966,2.2984780850321567,2.45287206805903,2.439353587330411,2.562209831788308,2.2555045003050656,2.693993641552965,2.228903958237568,2.4074194410746723,2.5435024692749773,2.5008829216041626,2.4034081712604527,2.350433919184134,2.3808569016170122,2.487201328086582,2.7041167739558367,2.6512005713071254,2.1326265017461283,2.455732237833115,2.57610063626079,2.5934288594282067,2.456514026167441,2.647510932145233,2.5280444512957647,2.514801079866054,2.418586715409189,2.53260807601832,2.362936039376466,2.4000328777961215,2.7049078211416253,2.4794800668662145,2.367405338139064,2.5507565688440383,2.5406188880849445,2.571913403504877,2.327789737461319,2.3931582189924168,2.6213339851054345,2.5684749775106583,2.675020643883616,2.4706722492568023,2.709449279585988,2.4035748553839857,2.7984970636109447,2.274697673932661,2.4781928700922733,2.4293363318446115,2.7697756132011797,2.295847195444403,2.4180709558284894,2.4146807069699285,2.479105484041458,2.483738408787302,2.4619434396976763
Zn2VN3,2.0683279548942872,2.485610671471708,2.4814292979075887,2.4637371229616902,2.194640305072249,2.224633564889996,2.559779753799003,2.2727380797013286,2.410906062535204,2.3787737903667128,2.2706090289452496,1.9983596665492878,2.5857726765189373,2.4308057513457033,2.1333983090022626,2.327991007818651,2.2075258477070454,2.210417584829279,2.409111000901915,2.279309740936015,2.7236164090214543,2.224291729301643,2.3675534353919434,2.420750670129967,2.220989894804892,2.2983217420439592,2.260362407694845,2.4700822587761597,2.488575631836348,2.5203087727699396,2.3652070144484796,2.2498233323,2.283390721746061,2.2663237502339966,2.5188285542978406,2.6888587905276626,2.155272930756693,2.541967586589185,2.2044922229556523,2.339697598127265,2.714936141166218,2.2295352978734613,2.654995710510173,2.299291469395083,2.2907527710165994,2.2528609179950303,2.478183817723684,2.128274463658,2.3104805566240434,2.2826845248218515,2.4020028850088053,2.2103749008292284,2.616070056903024,2.2140785594365235,2.3120183186077523,2.4645508401828566,2.4320911062286483,2.3142744938343,2.224547621440208,2.3059741608315747,2.341279539715663,2.50119669350129,2.4812383775827676,2.0019144726087457,2.291837807777835,2.4817153717390794,2.4423742253450826,2.4314177374369903,2.5184143414518347,2.402552774705641,2.361388978346171,2.4330771329890153,2.361093816664164,2.2382443652031583,2.2040875533696362,2.474865956692138,2.3475188583076476,2.2290349178032205,2.4078717720784955,2.4804489712750084,2.4159909588675825,2.1885820701178167,2.2429824017961346,2.4959218327444224,2.4406773811621845,2.595607644505713,2.436581054280652,2.5758412989397064,2.3419900368549627,2.6694299005059317,2.2028839758894305,2.411980938568724,2.330955821104771,2.5482613921806667,2.1827335885573276,2.3251597585654604,2.235842483476993,2.369650811163922,2.3290673552433443,2.415647817871074
Zn2CrN3,2.0672791984302346,2.474353455563072,2.4115039004469425,2.4549212777301106,2.144249348044181,2.183818956691868,2.4833537127914904,2.223419341937112,2.3565509593015626,2.2324825679329074,2.2912386848059922,1.9635778090345286,2.509198739652897,2.345392460665599,2.04247493498297,2.38680368299544,2.3173369021782637,2.227927672321769,2.401492258412759,2.1844657190335246,2.6272800188227254,2.2007437490183213,2.3069417861011536,2.354016016388388,2.2845814596627654,2.270269004609504,2.2018920582982577,2.4102406133082814,2.419567287911021,2.4733030941985863,2.3747234081549973,2.2516634106038578,2.2862551660498034,2.2308709366194917,2.48375823468177,2.659706378010908,2.1520566470632474,2.5301187718532616,2.131104346305228,2.3048506471974077,2.667654932336824,2.201742422902465,2.659368012350572,2.2637646714856223,2.155240164852304,2.234336383443628,2.4392339604728717,2.179693194714708,2.2807013213543827,2.277187656762518,2.3435331178468854,2.076313589329361,2.4593976399876576,2.1849781984683077,2.2829552518439,2.4328050699723454,2.359019129127132,2.282133993105143,2.190067374829704,2.24844168640376,2.3026118928428647,2.4971310129856845,2.494112722523255,1.9437129536208728,2.338114024302464,2.453160026341176,2.417984005111911,2.3903818192273514,2.519815248408337,2.353683266533788,2.365292565751936,2.4083246287529643,2.3985748953064787,2.203105886120619,2.2465316630058396,2.453148910464431,2.315442057981884,2.1606799345751213,2.432036257023292,2.3988570542335697,2.3489296079740063,2.1783390057706935,2.2729966729278077,2.4006296944528667,2.4163859317976115,2.4853923581139252,2.3823958979806132,2.5492643149227394,2.2889955007947203,2.700758519648057,2.153280147914805,2.3538860449827976,2.2661650747968416,2.5453656452086095,2.1816733367108765,2.2360957807652015,2.2855473321193176,2.40323525470645,2.2503653572142963,2.31705493924529
Zn2TaN3,2.1956314820327476,2.557747600738653,2.602764308640556,2.4508852086792494,2.3869050396050913,2.6085239556796473,2.6282316589127594,2.2421741201011685,2.4606413536603666,2.4118913884134003,2.2874730921002993,2.5614447836763974,2.7880763899991012,2.6791464272453567,2.389910634966551,2.5290271500369976,2.463920067184745,2.1237719024676265,2.6482809068170754,2.4219310903658275,3.110838500856988,2.482541030848196,2.90336379337965,2.419150369631975,2.3072268969623684,2.520090770588122,2.4251451656205263,2.5978111411613605,2.736886965982318,2.4317455632093212,2.600841179596976,2.4557605310854584,2.6109113020761012,2.3757272472688635,2.352885341304028,2.9186624930436236,2.417520046747189,2.61527284890728,2.2426933577647707,2.4383839388007438,2.7551062981506598,2.3518078532890474,2.7501551865231613,2.5023027226219248,2.473529943315472,2.519160363321795,2.6476190460520015,2.3484428242847963,2.4374527096504495,2.5421500521416123,2.5944126228058972,2.363269414225721,2.9075365920679364,2.22072026533243,2.36715953256477,2.535567246320603,2.5541020885958092,2.37434857591233,2.3766581044157795,2.34098211490453,2.5266030842113243,2.665967583963394,2.5022583147348816,2.2354635822885904,2.3557852439716767,2.5300308318716587,2.6347556305299835,2.3370343812530567,2.591504547175034,2.6545849015721195,2.5490692258593812,2.3651290340126145,2.4483306472820634,2.3082041392086126,2.2799417685563275,2.7203409700404197,2.610735664887706,2.5275419520920117,2.492737516878778,2.6621892015086397,2.626464102877511,2.4472319261356885,2.507738563725643,2.8203493053688677,2.560980447678727,2.835433066780072,2.3347970860731286,2.6774140244255173,2.340324999854712,2.785373855683577,2.2537074985708,2.474177320425997,2.5138504618358444,2.858835637345293,2.270169620784035,2.4781548798202815,2.4549931322444207,2.323664456824541,2.5780666901763842,2.4956448825348687
